fecha,trabajo_realizado,calle,categoria,referencia,barrio,insumos_1,cantidad_1,fechasarregladas,mes
2025-02-19,colocacion reflectores,belgrano,Instalaciónes Varias,ferro,desconocido,lampara 100w,2,2025-02-19,2025-02
2025-02-19,retiro adornos y luminarias,bruno ramirez,Reparación / Mantenimiento,pasaje ,desconocido,no se usaron insumos,0,2025-02-19,2025-02
2025-02-19,colocacion de lampara,libertad ,Instalaciónes Varias,libertad y guemes,desconocido,lampara 80w,1,2025-02-19,2025-02
2025-02-19,colocacion de lampara,libertad ,Instalaciónes Varias,entre guemes y inmigrantes,desconocido,lampara 100w,1,2025-02-19,2025-02
2025-02-19,colocacion de lampara,remedios de escalada,Instalaciónes Varias,entre 9 julio y jesus fernandez,desconocido,lampara 100w,1,2025-02-19,2025-02
2025-02-19,colocacion de lampara,moreno,Instalaciónes Varias,moreno y mayuli,independiente,lampara 100w,1,2025-02-19,2025-02
2025-02-19,colocacion de lampara,moreno,Instalaciónes Varias,entre mayuli y Gral. taboada,independiente,lampara 100w,2,2025-02-19,2025-02
2025-02-19,colocacion,av. del agro,Instalaciónes Varias,flia gerez,desconocido,toma corriente,1,2025-02-19,2025-02
2025-02-19,armado de jaula antibandalos,desconocido,Armado / Construcción,taller propio,desconocido,no se usaron insumos,0,2025-02-19,2025-02
2025-01-28,retiro de insumo,san martin,Retiro de insumos varios,municipalidad,desconocido,lampara 100w,20,2025-01-28,2025-01
2025-01-28,colocacion de poste y lampara,coronel borges,Instalaciónes Varias,coronel borges y martin fierro ,desconocido,lampara 80w,1,2025-01-28,2025-01
2025-01-28,colocacion de lampara,sargento cabral,Instalaciónes Varias,sargento cabral y absalon rojas,desconocido,lampara 100w,1,2025-01-28,2025-01
2025-01-28,colocacion de lampara,remedios de escalada,Instalaciónes Varias,remedios de escalada y 27 de abril,desconocido,lampara 100w,2,2025-01-28,2025-01
2025-01-28,reconexion,libertad,Conexión / Reconexion,libertad y av. dorrego,desconocido,lampara 150w,1,2025-01-28,2025-01
2025-01-28,colocacion de lampara,desconocido,Instalaciónes Varias,flia abregu y castillo,victoria,lampara 100w,2,2025-01-28,2025-01
2025-01-28,colocacion de lampara,belgrano,Instalaciónes Varias,(nestor dias)entre belgrano y san martin,desconocido,lampara 100w,2,2025-01-28,2025-01
2025-01-28,colocacion de lampara,libertad,Instalaciónes Varias,(plazoleta)libertad e independiente,desconocido,lampara 100w,3,2025-01-28,2025-01
2025-01-28,colocacion de lampara,libertad,Instalaciónes Varias,noelia villavicencio,desconocido,lampara 100w,1,2025-01-28,2025-01
2025-02-20,retiro de insumo,san martin,Retiro de insumos varios,municipalidad,desconocido,lampara 100w,10,2025-02-20,2025-02
2025-02-20,extension,coronel lugones,Extensión / Ampliación,calle lugones y sarmiento,desconocido,lampara 100w,3,2025-02-20,2025-02
2025-02-20,colocacion de lampara,almirante brown,Instalaciónes Varias,(flia molinari)almt. brown casi sarmiento,desconocido,lampara 100w,1,2025-02-20,2025-02
