fecha,trabajo_realizado,calle,tipo,referencia,barrio,insumos_1,cantidad_1,insumos_2,cantidad_2,insumos_3,cantidad_3,insumos_4,cantidad_4
19/02/25,colocacion reflectores,belgrano,publico,ferro,null,lamparas 100w,2,cable  concentrico,50mt,reflectores,3,null,null
19/02/25,retiro adornos y luminarias,bruno ramirez,publico,pasaje ,null,null,null,null,null,null,null,null,null
19/02/25,colocacion de lampara,libertad ,publico,libertad y guemes,null,lamparas 80w,1,null,null,null,null,null,null
19/02/25,colocacion de lampara,libertad ,publico,entre guemes y inmigrantes,null,lamparas 100w,1,null,null,null,null,null,null
19/02/25,colocacion de lampara,remedios de escalada,publico,entre 9 julio y jesus fernandez,null,lamparas 100w,1,null,null,null,null,null,null
19/02/25,colocacion de lampara,moreno,publico,moreno y mayuli,independiente,lamparas 100w,1,null,null,null,null,null,null
19/02/25,colocacion de lampara,moreno,publico,entre mayuli y Gral. taboada,independiente,lamparas 100w,2,null,null,null,null,null,null
19/02/25,colocacion,av. del agro,privado,flia gerez,null,toma corriente,1,null,null,null,null,null,null
19/02/25,armado de jaula antibandalos,null,null,taller propio,null,null,null,null,null,null,null,null,null
28/01/25,retiro de insumo,san martin,null,municipalidad,null,lamparas 100w,20,null,null,null,null,null,null
28/01/25,colocacion de poste y lampara,coronel borges,publico,coronel borges y martin fierro ,null,lamparas 80w,1,cable ,10mt,poste,1,antibandalos,1
28/01/25,colocacion de lampara,sargento cabral,publico,sargento cabral y absalon rojas,null,lamparas 100w,1,null,null,null,null,null,null
28/01/25,colocacion de lampara,remedios de escalada,publico,remedios de escalada y 27 de abril,null,lamparas 100w,2,null,null,null,null,null,null
28/01/25,reconexion,libertad,publico,libertad y av. dorrego,null,lampara 150w,1,null,null,null,null,null,null
28/01/25,colocacion de lampara,null,privado,flia abregu y castillo,victoria,lamparas 100w,2,null,null,null,null,null,null
28/01/25,colocacion de lampara,belgrano,privado,(nestor dias)entre belgrano y san martin,null,lamparas 100w,2,null,null,null,null,null,null
28/01/25,colocacion de lampara,libertad,publico,(plazoleta)libertad e independiente,null,lamparas 100w,3,null,null,null,null,null,null
28/01/25,colocacion de lampara,libertad,privado,noelia villavicencio,null,lamparas 100w,1,null,null,null,null,null,null
20/02/25,retiro de insumo,san martin,null,municipalidad,null,lamparas 100w,10,null,null,null,null,null,null
20/02/25,extension,coronel lugones,publico,calle lugones y sarmiento,null,lamparas 100w,3,cable,40mt,antibandalos,1,null,null
20/02/25,colocacion de lampara,almirante brown,publico,(flia molinari)almt. brown casi sarmiento,null,lamparas 100w,1,null,null,null,null,null,null
20/02/25,colocacion de lampara,mar argentino,publico,entre alfonsin y santa fe,null,lamparas 100w,1,null,null,null,null,null,null
20/02/25,colocacion de lampara,mar argentino,publico,mar argentino y santafe,null,lamparas 100w,1,null,null,null,null,null,null
20/02/25,colocacion de lampara,remedios de escalada,publico,remedios de escalada e inmigrantes,hospital,lamparas 100w,1,null,null,null,null,null,null
20/02/25,colocacion de brazo y lampara,almirante brown,privado,cancha el toke(dani murad),null,lamparas 100w,1,brazo ,1,null,null,null,null
10/02/25,retiro de insumo,san martin,null,municipalidad,null,lamparas 80w,15,null,null,null,null,null,null
10/02/25,retiro de columna ,belgrano,publico,veredon,null,null,null,null,null,null,null,null,null
10/02/25,colocacion de brazo y lampara,cheein,publico,desde emeta a la loma,null,lamparas 80w,11,brazo ,1,null,null,null,null
10/02/25,timer corregido de comando,cheein,privado,emeta,null,null,null,null,null,null,null,null,null
10/02/25,colocacion de lampara,null,privado,tuta carabajal,null,lamparas 80w,1,null,null,null,null,null,null
10/02/25,timer corregido de comando,san martin,privado,municipalidad,null,null,null,null,null,null,null,null,null
10/02/25,timer corregido de comando,libertad,publico,null,null,null,null,null,null,null,null,null,null
10/02/25,timer corregido de comando,san martin,publico,plaza principal,null,null,null,null,null,null,null,null,null
10/02/25,colocacion de bajada de obra,av. del agro,privado,null,null,null,null,null,null,null,null,null,null
10/02/25,timer corregido de comando,belgrano,publico,null,null,null,null,null,null,null,null,null,null
10/02/25,armado de columna,null,null,taller propio,null,null,null,null,null,null,null,null,null
10/02/25,trabajos varios,null,null,taller propio,null,null,null,null,null,null,null,null,null
06/02/25,reconexion,null,privado,flia villavicencio,las americas,null,null,null,null,null,null,null,null
06/02/25,colocacion de lampara,null,publico,camino a las lomitas,null,lamparas 80w,2,null,null,null,null,null,null
06/02/25,colocacion de lampara,null,publico,frente al jardin,12 de octubre,lamparas 80w,1,null,null,null,null,null,null
06/02/25,solucion de cortocircuito,null,privado,jardin de independiente,null,null,null,null,null,null,null,null,null
